,Genus,Blank-AD,D3-T37-Initial,D3-T50-Initial,D3-T65-Initial,D3-T80-Initial,D20-T50-bef-2,D20-T50-bef-1,D43-T37-2,D43-T37-1,D43-T50-2,D43-T50-1,D43-T65-2,D43-T65-1,D43-T80-2,D43-T80-1,D70-T37-2,D70-T37-1,D70-T50-2,D70-T50-1,D70-T65-2,D70-T65-1,D70-T80-2,D70-T80-1,D76-T50-bef-2,D76-T50-bef-1,D76-T65-bef-1,D76-T80-bef-1,D96-T37-2,D96-T37-1,D96-T50-2,D96-T50-1,D96-T65-1,D96-T65-bef-2,D96-T80-2,D96-T80-1,D135-T37-2,D135-T37-1,D135-T50-2,D135-T50-1,D135-T65-2,D135-T65-1,D135-T80-2,D135-T80-1
1,Candidatus Methanomethylophilus,0,0,0,0,0,0.023211281,0.045349189,0.048486318,0.041994457,0,0,0,0,0,0,0.00760572,0.007183392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028996714,0,0,0,0,0,0,0
2,Methanobacterium,0,21.42857143,11.02941176,15.24926686,21.96531792,2.210874485,4.398871309,26.69171793,46.96100115,49.98082822,54.92802261,0.921105326,0.919422807,0,0.164672302,61.8383024,66.56849364,25.50171317,30.67920585,0.502789448,1.209491882,0,0,20.00323677,20.98132969,1.987689875,0,24.8707671,41.12254211,39.22362634,29.84865827,4.23676809,9.479874635,0.01490424,0,21.16437915,30.06097143,51.02572726,43.65649312,5.463011542,2.928212337,0,0
3,Methanobrevibacter,55.71725572,33.22981366,34.55882353,33.43108504,30.63583815,28.86322753,30.96845712,41.79217552,28.84179288,25.29236963,28.93226177,97.41690028,97.2034223,99.03578316,98.7484905,31.62077883,30.26363049,16.29140153,19.75339603,98.92554584,54.60461447,99.83639851,88.21454237,26.50914387,35.94603825,70.92721215,74.12415489,28.36765722,45.01783788,40.75263562,46.27580652,95.67885451,57.756101,82.33474924,89.4434629,16.76654424,23.93642529,44.94703212,51.57989228,80.38759182,91.64661314,66.90025507,76.01632114
4,Methanococcus,0,0,0.735294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Methanoculleus,0,0,0,0,0,0,0,0.533349495,0.74750133,0,0.145721099,0,0,0,0,3.460602373,1.698872207,0,0.108672936,0,0,0,0,0.05664347,0.193533698,0,0,2.357982032,12.25006223,1.843189276,0.377294502,0,0,2.619420225,0,9.771892519,43.64595465,0.395157222,0.341113106,13.33617524,5.34416621,0,0
6,Methanofollis,0,0,0,0,0,0,0,0,0.067191131,0,0,0,0,0,0,0.038028598,0,0.473160385,0.468129572,0,0,0,0,0.267033501,0,0,0,0,0,0.356070656,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Methanolinea,0,0,0,0,0,0.034816921,0.025193994,0.009091185,0.013998152,0.057515337,0.030910536,0,0,0,0.03293446,0,0.014366784,0,0.016718913,0,0,0,0,0.024275773,0,0.008470269,0,0,0,0.013963555,0.016957056,0,0,0,0,0.009665571,0,0,0.011968881,0.009837356,0.004765195,0,0
8,Methanomassiliicoccus,0,0,0,0,0,0,0,1.07882057,0.912679526,0.244440184,0.136889517,0,0,0,0,0.669303316,0.405861648,0.187632566,0.033437827,0,0,0,0,0.202298106,0.079690346,0,0,0.561161023,0.77574048,0.076799553,0,0,0,0,0,0.960113409,2.055216825,0.210190012,0.071813285,0.678777545,0,0,0
9,Methanoregula,0,0,0,0,0,0,0.030232793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02276867,0,0,0,0.024890069,0,0,0,0.010564496,0,0,0,0,0,0,0,0,0,0
10,Methanosaeta,0,0,2.941176471,3.225806452,0,0.104450763,0.090698378,0.051516713,0.075590022,0.23006135,0.145721099,0.300360433,0.229855702,0.214270409,0.230541223,0.060845756,0.043100352,0.057105564,0.066875653,0.06198774,0.03615329,0.022565723,0.032664794,0.11328694,0,0.022587385,0,0.0138217,0.082966896,0.181526217,0.182288355,0.069036052,0.066908476,0.044712721,0,0.035440428,0.164417346,0.151336808,0.179533214,0.085257083,0.042886755,0,0.01500105
