,variable,Name,HeatShock,Treatment,Time,Replicate,Acetate,Propionate,Butyrate,Valerate,Caproate
D20-T50-bef-1,D20-T50-bef-1,T50-1,No,50,20,20-1,212.1511064,1404.99776,1771.335905,1781.180745,332.6405521
D20-T50-bef-2,D20-T50-bef-2,T50-2,No,50,20,20-2,131.6864692,1090.552764,1545.987532,1164.039747,262.9751924
D43-T37-1,D43-T37-1,T37-1,No,37,43,43-1,984.1745444,2332.828452,337.3933342,1029.278517,38.73239862
D43-T37-2,D43-T37-2,T37-2,No,37,43,43-2,306.0659671,2638.891325,44.77037373,923.5784744,23.25610626
D43-T50-1,D43-T50-1,T50-1,No,50,43,43-1,2082.312876,1100.551757,638.531856,1410.604017,228.3561079
D43-T50-2,D43-T50-2,T50-2,No,50,43,43-2,1983.954917,1273.374546,1138.254985,1749.88232,295.9276006
D43-T65-1,D43-T65-1,T65-1,No,65,43,43-1,3383.027337,1812.525094,2659.863218,1989.04596,369.0460693
D43-T65-2,D43-T65-2,T65-2,No,65,43,43-2,2313.801447,1141.895208,1565.505353,1682.771532,302.39844
D43-T80-1,D43-T80-1,T80-1,No,80,43,43-1,2251.217639,900.8843571,1233.002926,913.5915062,92.73972708
D43-T80-2,D43-T80-2,T80-2,No,80,43,43-2,2346.00814,1118.213942,1671.670489,1106.637811,184.4372955
D70-T37-1,D70-T37-1,T37-1,No,37,70,70-1,4543.333555,2457.538574,719.719846,1477.232601,48.57901872
D70-T37-2,D70-T37-2,T37-2,No,37,70,70-2,5143.327298,2699.75855,492.6892982,1212.350865,38.49643079
D70-T50-1,D70-T50-1,T50-1,No,50,70,70-1,2048.899364,1416.758484,2581.517608,1875.108232,412.8868633
D70-T50-2,D70-T50-2,T50-2,No,50,70,70-2,2960.876757,1533.65553,2981.637149,2110.466081,503.3343602
D70-T65-1,D70-T65-1,T65-1,No,65,70,70-1,949.4309701,1574.806312,2609.441456,1870.967869,768.3045363
D70-T65-2,D70-T65-2,T65-2,No,65,70,70-2,3794.991787,1325.178774,2100.973903,2104.875217,834.8047879
D70-T80-1,D70-T80-1,T80-1,No,80,70,70-1,2967.857644,1347.902167,2194.993543,1236.294872,341.9285199
D70-T80-2,D70-T80-2,T80-2,No,80,70,70-2,3163.57291,1244.304249,2419.938291,1549.897624,549.7432769
D76-T50-bef-1,D76-T50-bef-1,T50-1,No,50,76,76-1,2144.150507,1464.767256,2651.943962,1979.73536,417.7620961
D76-T50-bef-2,D76-T50-bef-2,T50-2,No,50,76,76-2,2093.423468,1356.166285,2596.899863,1868.639615,433.8025947
D76-T65-bef-1,D76-T65-bef-1,T65-1,No,65,76,76-1,834.8788781,1734.738922,2629.380903,2406.822831,830.4594276
D76-T80-bef-1,D76-T80-bef-1,T80-1,No,80,76,76-1,276.4567875,1084.76222,1723.786304,1012.731642,270.4935518
D96-T37-1,D96-T37-1,T37-1,No,37,96,96-1,4461.059747,2599.93177,791.1954437,1586.110585,148.4477565
D96-T37-2,D96-T37-2,T37-2,No,37,96,96-2,146.512258,3521.924434,29.8513252,44.95922308,7.411668657
D96-T50-1,D96-T50-1,T50-1,No,50,96,96-1,2817.288885,1635.188919,2756.694029,2185.922243,445.9150558
D96-T50-2,D96-T50-2,T50-2,No,50,96,96-2,3287.170161,1772.215336,2958.081384,2425.275778,544.160352
D96-T65-1,D96-T65-1,T65-1,No,65,96,96-1,1586.00598,1970.339578,3103.226401,2762.169004,865.5826675
D96-T65-bef-2,D96-T65-bef-2,T65-2,No,65,96,96-2,786.2559887,1348.586967,2203.387602,2262.02832,796.9935497
D96-T80-1,D96-T80-1,T80-1,No,80,96,96-1,2086.016876,1865.857693,2898.478474,1893.150929,392.2932043
D96-T80-2,D96-T80-2,T80-2,No,80,96,96-2,3472.85949,1207.231478,2404.601849,1669.294859,601.770893
D135-T37-1,D135-T37-1,T37-1,No,37,135,135-1,537.8720571,3189.174417,756.8003516,1615.053833,30.47618559
D135-T37-2,D135-T37-2,T37-2,No,37,135,135-2,114.9543011,3640.777445,14.05886193,16.95775926,5.355996545
D135-T50-1,D135-T50-1,T50-1,No,50,135,135-1,5036.125318,1875.832007,2001.384274,2552.66022,514.2631953
D135-T50-2,D135-T50-2,T50-2,No,50,135,135-2,5290.162213,1926.871213,2011.950626,2628.865442,591.3818463
D135-T65-1,D135-T65-1,T65-1,No,65,135,135-1,2144.442256,2312.439353,3603.211229,3320.554002,1041.218325
D135-T65-2,D135-T65-2,T65-2,No,65,135,135-2,2017.759868,1929.992162,3071.9199,3222.320354,1084.632891
D135-T80-1,D135-T80-1,T80-1,No,80,135,135-1,3185.200434,2445.794836,3973.150208,2529.088435,504.3965239
D135-T80-2,D135-T80-2,T80-2,No,80,135,135-2,4781.936967,1558.087513,3108.673918,2156.240804,706.6908342
