,Name,Group,HeatShock,Treatment,Time,NoInitial,Replicate
D3-T37-Initial_S7_L001_R1_001.fastq.gz,D3-T37-Initial,C37,No,37,3,Initial,C37
D3-T50-Initial_S8_L001_R1_001.fastq.gz,D3-T50-Initial,T50,No,50,3,Initial,T50
D3-T65-Initial_S9_L001_R1_001.fastq.gz,D3-T65-Initial,T65,No,65,3,Initial,T65
D3-T80-Initial_S10_L001_R1_001.fastq.gz,D3-T80-Initial,T80,No,80,3,Initial,T80
D3-T50-af-1_S11_L001_R1_001.fastq.gz,D3-T50-af-1,T50,Yes,50,3,Initial,T50-1
D3-T50-af-2_S12_L001_R1_001.fastq.gz,D3-T50-af-2,T50,Yes,50,3,Initial,T50-2
D3-T65-af-1_S13_L001_R1_001.fastq.gz,D3-T65-af-1,T65,Yes,65,3,Initial,T65-1
D3-T65-af-2_S14_L001_R1_001.fastq.gz,D3-T65-af-2,T65,Yes,65,3,Initial,T65-2
D3-T80-af-1_S15_L001_R1_001.fastq.gz,D3-T80-af-1,T80,Yes,80,3,Initial,T80-1
D3-T80-af-2_S16_L001_R1_001.fastq.gz,D3-T80-af-2,T80,Yes,80,3,Initial,T80-2
D20-T50-bef-1_S17_L001_R1_001.fastq.gz,D20-T50-bef-1,T50,No,50,20,T50,T50-1
D20-T50-bef-2_S18_L001_R1_001.fastq.gz,D20-T50-bef-2,T50,No,50,20,T50,T50-2
D20-T50-af-1_S19_L001_R1_001.fastq.gz,D20-T50-af-1,T50,Yes,50,20,T50,T50-1
D20-T50-af-2_S20_L001_R1_001.fastq.gz,D20-T50-af-2,T50,Yes,50,20,T50,T50-2
D43-T37-1_S21_L001_R1_001.fastq.gz,D43-T37-1,C37,No,37,43,C37,C37-1
D43-T37-2_S22_L001_R1_001.fastq.gz,D43-T37-2,C37,No,37,43,C37,C37-2
D43-T50-1_S23_L001_R1_001.fastq.gz,D43-T50-1,T50,No,50,43,T50,T50-1
D43-T50-2_S24_L001_R1_001.fastq.gz,D43-T50-2,T50,No,50,43,T50,T50-2
D43-T65-1_S25_L001_R1_001.fastq.gz,D43-T65-1,T65,No,65,43,T65,T65-1
D43-T65-2_S26_L001_R1_001.fastq.gz,D43-T65-2,T65,No,65,43,T65,T65-2
